instnm,sub_pref,course,course_title,academic_year
Texas A&M University-Kingsville,PSYC,4325,ABNORMAL PSYCHOLOGY,2024
Texas A&M University-Kingsville,PSYC,4329,COGNITIVE PSYCHOLOGY,2024
Texas A&M University-Kingsville,AGBU,2301,PRIN OF AGRIBUSINESS MGMT,2024
Texas A&M University-Kingsville,PSYC,4311,INTRO. TO COUNSELING SKILLS,2024
Texas A&M University-Kingsville,AGBU,3371,FARM MANAGEMENT,2024
Texas A&M University-Kingsville,AGBU,3375,WATER RESOURCES POLICY & MGMT,2024
Texas A&M University-Kingsville,AGBU,4340,ADV. AGRIBUSINESS MANAGEMENT,2024
Texas A&M University-Kingsville,PSYC,3315,HEALTH PSYCHOLOGY,2024
Texas A&M University-Kingsville,AGBU,3350,AGRIBUSINESS MARKETING,2024
Texas A&M University-Kingsville,PSYC,4306,INTRO. TO NEUROPSYCHOLOGY,2024
Texas A&M University-Kingsville,SOCI,4341,SOCIOLOGY OF AGING,2024
Texas A&M University-Kingsville,PSYC,4303,ENVIRONMENTAL PSYCHOLOGY (WI),2024
Texas A&M University-Kingsville,PSYC,3381,STATISTICS FOR BEHAVIORAL SCI,2024
Texas A&M University-Kingsville,PSYC,3301,SOCIAL PSYCHOLOGY (WI),2024
Texas A&M University-Kingsville,PSYC,4305,ADVANCED HUMAN SEXUALITY,2024
Texas A&M University-Kingsville,PSYC,3387,EXPERIMENTAL PSYCHOLOGY,2024
Texas A&M University-Kingsville,MKTG,4345,CONTRACTS & DOCUMENTATION,2024
Texas A&M University-Kingsville,MUSA,1110,APPLIED MUSIC I,2024
Texas A&M University-Kingsville,MUSA,1210,APPLIED MUSIC I,2024
Texas A&M University-Kingsville,MKTG,3375,WAREHOUSE & INVENTORY MGMT,2024
Texas A&M University-Kingsville,MKTG,4321,NEGOTIATION/DISPUTE RESOLUTION,2024
Texas A&M University-Kingsville,MKTG,4335,SUPPLY CHAIN MANAGEMENT,2024
Texas A&M University-Kingsville,MUSA,1120,APPLIED MUSIC II,2024
Texas A&M University-Kingsville,MUSA,1220,APPLIED MUSIC II,2024
Texas A&M University-Kingsville,MKTG,4363,GLOBAL MARKETING,2024
Texas A&M University-Kingsville,MKTG,3365,MARKETING RESEARCH,2024
Texas A&M University-Kingsville,MKTG,3324,PRINCIPLES OF MARKETING,2024
Texas A&M University-Kingsville,MEEN,4396,FUND. OF NUCLEAR ENGINEERING,2024
Texas A&M University-Kingsville,MEEN,4355,ROBOTICS I,2024
Texas A&M University-Kingsville,MEEN,4352,DESIGN OF TURBOMACHINERY,2024
Texas A&M University-Kingsville,MEEN,4351,MACHINE DESIGN II,2024
Texas A&M University-Kingsville,MEEN,4345,ENGINEERING VIBRATIONS,2024
Texas A&M University-Kingsville,MEEN,4344,CONTROL OF SYSTEMS,2024
Texas A&M University-Kingsville,MEEN,4341,APPL OF THERMODYNAMICS,2024
Texas A&M University-Kingsville,MEEN,4303,AERODYNAMICS,2024
Texas A&M University-Kingsville,MEEN,4264,MECH ENG DESIGN PROJECTS II,2024
Texas A&M University-Kingsville,MEEN,4263,MECH ENGR DESIGN PROJ I (WI),2024
Texas A&M University-Kingsville,MEEN,4131,MECHANICAL ENGINEERING LAB,2024
Texas A&M University-Kingsville,MEEN,5331,ADVANCE MATERIALS SCIENCE,2024
Texas A&M University-Kingsville,MGMT,4390,STRATEGIC MGMT GLOBAL BUS ENV,2024
Texas A&M University-Kingsville,MGMT,4351,LEADERSHIP IN ORGANIZATIONS,2024
Texas A&M University-Kingsville,MGMT,4348,COMPENSATION THEORY AND ADMIN,2024
Texas A&M University-Kingsville,MGMT,3355,OPERATIONS & SCM,2024
Texas A&M University-Kingsville,MGMT,3325,HUMAN RESOURCE MANAGEMENT,2024
Texas A&M University-Kingsville,MGMT,3322,PRINCIPLES OF MANAGEMENT,2024
Texas A&M University-Kingsville,MGMT,3312,ORG THEORY AND HUMAN BEHAVIOR,2024
Texas A&M University-Kingsville,MGMT,3310,INTRO ENTREPREN & CREATIVITY,2024
Texas A&M University-Kingsville,MEEN,5335,ADV ROBOTICS & AUTOMATION,2024
Texas A&M University-Kingsville,MUSA,2210,APPLIED MUSIC I,2024
Texas A&M University-Kingsville,MUSA,4210,APPLIED MUSIC I,2024
Texas A&M University-Kingsville,MUSA,4310,APPLIED MUSIC I,2024
