subject_code,catalog_number,course_title
MATH,101,Calculus I
ENGL,200,Introduction to Literature
BIO,150,Cell Biology
CS,101,Introduction to Computer Science
ART,110,Drawing I
HIST,205,World History to 1500
PSY,101,Introductory Psychology
ECON,101,Principles of Microeconomics
PHIL,200,Introduction to Ethics
MUS,103,Music Appreciation
NURS,300,Pathophysiology
SPAN,101,Elementary Spanish I
ANTH,201,Cultural Anthropology
CHEM,210,Organic Chemistry
BUS,150,Introduction to Business
EDUC,300,Educational Psychology
ENGR,205,Statics
GEOG,101,Physical Geography
LING,210,Introduction to Linguistics
SOC,101,Introduction to Sociology
