code,title,description
01.0000,"Agriculture, General.","A course that focuses on the general principles and practice of agricultural research and production and that may prepare individuals to apply this knowledge to the solution of practical agricultural problems. Includes instruction in basic animal, plant, and soil science; animal husbandry and plant cultivation; soil conservation; and agricultural operations such as farming, ranching, and agricultural business. Also, agriculture in society."
01.0101,"Agricultural Business and Management, General.","A general course that focuses on modern business and economic principles involved in the organization, operation, and management of agricultural enterprises."
01.0102,Agribusiness/Agricultural Business Operations.,"A course that prepares individuals to manage agricultural businesses and agriculturally related operations within diversified corporations. Includes instruction in agriculture, agricultural specialization, business management, accounting, finance, marketing, planning, human resources management, and other managerial responsibilities. Examples include agricultural systems management."
01.0103,Agricultural Economics.,"A course that focuses on the application of economics to the analysis of resource allocation, productivity, investment, and trends in the agricultural sector, both domestically and internationally. Includes instruction in economics and related subfields as well as applicable agricultural fields."
01.0104,Farm/Farm and Ranch Management.,"A course that prepares individuals to manage farms, ranches, and similar enterprises. Includes instruction in applicable agricultural specialization, business management, accounting, taxation, capitalization, purchasing, government programs and regulations, operational planning and budgeting, contracts and negotiation, and estate planning."
01.0105,Agricultural/Farm Supplies Retailing and Wholesaling.,"A course that prepares individuals to sell agricultural products and supplies, provide support services to agricultural enterprises, and purchase and market agricultural products. Includes instruction in basic business management, marketing, retailing and wholesaling operations, and applicable principles of agriculture and agricultural operations."
01.0106,Agricultural Business Technology.,"A course that prepares individuals to perform specialized support functions related to agricultural business offices and operations and to operate agricultural office equipment, software, and information systems. Includes instruction in basic agricultural business principles, office management, equipment operation, standard software, and database management."
01.0198,Agriculture Policy.,Any agriculture business and management course that deals with the topics of agriculture policy.
01.0199,"Agricultural Business and Management, Other.",Any course in agricultural business and management not listed above.
01.0201,"Agricultural Mechanization, General.","A course that generally prepares individuals to sell, select, and service agricultural or agribusiness technical equipment and facilities, including computers, specialized software, power units, machinery, equipment structures, and utilities. Includes instruction in agricultural power systems; planning and selecting materials for the construction of support facilities; mechanical practices associated with irrigation and water conservation; erosion control; and agricultural data processing systems."
01.0204,Agricultural Power Machinery Operation.,"A course that prepares individuals to operate specialized farm, ranch, and agribusiness power equipment of a stationary, mobile, and/or hand-operated nature. Includes instruction in operating specialized equipment such as terrestrial and airborne crop spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos, irrigation, pumping, and applications such as dairy, feeding and, shearing operations; processing equipment; and applicable electrical, mechanical, and safety principles."
01.0205,Agricultural Mechanics and Equipment/Machine Technology.,"A course that prepares individuals to maintain and repair specialized farm, ranch, and agribusiness power equipment and vehicles. Includes instruction in the principles of diesel, combustion, electrical, steam, hydraulic, and mechanical systems and their application to the maintenance of terrestrial and airborne crop spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos; irrigation and pumping equipment; dairy, feeding and, shearing operations; and processing systems. Also agriculture skills and/or farm shop."
01.0298,"Agricultural Soil/Water Practices, Hydrology, Irrigation and/or Tillage.","Any agricultural mechanization course that deals with the topics of agricultural soil/water practices, hydrology, irrigation, and/or tillage. Note: hydrology also appears in other codes; only hydrology courses dealing with agriculture mechanization belong in this code."
01.0299,"Agricultural Mechanization, Other.",Any course in agricultural mechanization not listed above. Examples include agricultural irrigation.
01.0301,"Agricultural Production Operations, General.","A course that focuses on the general planning, economics, and use of facilities, natural resources, equipment, labor, and capital to produce plant and animal products, and that may prepare individuals for work in farming, ranching, and agribusiness."
01.0302,Animal/Livestock Husbandry and Production.,"A course that prepares individuals to select, breed, care for, process, and market livestock and small farm animals. Includes instruction in basic animal science, animal nutrition, and animal health as applied to various species and breeds; design and operation of housing, feeding, and processing facilities; and related issues of safety, applicable regulations, logistics, and supply. Also pasture production, large animal evaluation, animal agriculture, and/or meat animal evaluation."
01.0303,Aquaculture.,"A course that prepares individuals to select, culture, propagate, harvest, and market domesticated fish, shellfish, and marine plants, both freshwater and saltwater. Includes instruction in the basic principles of aquatic and marine biology; health and nutrition of aquatic and marine life; design and operation of fish farms, breeding facilities, culture beds, and related enterprises; and related issues of safety, applicable regulations, logistics, and supply."
01.0304,Crop Production.,"A course that prepares individuals to cultivate grain, fiber, forage, oilseed, fruits and nuts, vegetables, and other domesticated plant products. Includes instruction in basic principles of plant science, health, and nutrition as applied to particular species and breeds; soil preparation and irrigation; pest management; planting and harvesting operations; product marketing; and applicable issues of safety, regulation, logistics, and supply. Also pasture production and/or greenhouse crop production. Examples include organic farming."
01.0306,Dairy Husbandry and Production.,"A course that prepares individuals to manage the selection and care of dairy animals and associated dairy farm and processing facilities and operations. Includes instruction in basic animal and dairy science; dairy animal nutrition and health; design and operation of dairy housing, feeding, and processing facilities and equipment; and related issues of safety, sanitation, shipping and handling, and applicable regulations."
01.0307,Horse Husbandry/Equine Science and Management.,"A course that prepares individuals to manage the selection, breeding, care, and maintenance of work, athletic, and show horses; and horse farms, stables, tracks and related equipment and operations. Includes instruction in applicable principles of animal science, care, and health; stable and track management; design and operation of facilities and equipment; and related issues such as regulations, business management; and logistics."
01.0308,Agroecology and Sustainable Agriculture.,"A course that focuses on agricultural principles and practices that, over the long term, enhance environmental quality, make efficient use of nonrenewable resources, integrate natural biological cycles and controls, and are economically viable and socially responsible; and that may prepare individuals to apply this knowledge to the solution of agricultural and environmental problems. Includes instruction in principles of agroecology, crop and soil sciences, entomology, horticulture, animal science, weed science and management, soil fertility and nutrient cycling, applied ecology, agricultural economics, and rangeland ecology and watershed management. Examples include agroecology; sustainable agriculture."
01.0309,Viticulture and Enology.,"A course that focuses on the application of scientific and agribusiness principles to the production of grapes, the making of wine, and the wine business. Includes instruction in grapes and wines of the world; grape production; winemaking technology; plant biology; chemistry; food science, safety, and packaging; soil science; pest management; and marketing and business management."
01.0398,"Agricultural Supplies, Agricultural Chemicals and/or Farm Chemicals/Supplies.","Any agricultural production operations course that deals with topics of agricultural supplies, agricultural chemicals, and/or farm chemicals/supplies."
01.0399,"Agricultural Production Operations, Other.",Any course in agricultural production operations not listed above.
01.0401,Agricultural and Food Products Processing.,"A course that prepares individuals to receive, inspect, store, process, and package agricultural products in the form of human food consumables, animal or plant food, or other industrial products. Includes instruction in the nutrient and industrial properties of various agricultural products; logistics and storage procedures; chemical and mechanical processing operations; packaging; safety and health requirements; and related technical and business principles."
01.0500,"Agricultural and Domestic Animal Services, General.",Any course dealing with general topics of agricultural and domestic animal services.
01.0504,Dog/Pet/Animal Grooming.,"A course that prepares individuals to provide cosmetic services for household pets, show animals, work animals and animal athletes. Includes instruction in skin, coat, and pelt grooming and styling; skin care; hoof, nail, and claw care; animal massage; minor first aid and veterinary referral; animal grooming products and applications; health and safety; and applicable regulations."
01.0505,Animal Training.,"A course that prepares individuals to teach and exercise animals for leisure, sport, show, and professional purposes. Includes instruction in animal psychology, health, and safety; human-animal interaction; learning and behavior styles associated with different breeds and species; and the technical and pedagogical aspects of training animals for such specific functions as obedient household pets, performing show animals, animal athletes, care-giving (e.g., seeing-eye dogs), search and rescue, and police/security work."
01.0507,Equestrian/Equine Studies.,"A course that focuses on the horse, horsemanship, and related subjects and prepares individuals to care for horses and horse equipment; ride and drive horses for leisure, sport, show, and professional purposes; and manage the training of horses and riders. Includes instruction in horse breeding, nutrition, health, and safety; history of the horse and horsemanship; horse development and training; riding and equestrian technique; stable, paddock, and track management; and equipment maintenance and repair. Also dressage and/or rodeo."
01.0508,Taxidermy/Taxidermist.,"A course that prepares individuals to reproduce life-like three-dimensional representations of living animals for permanent display using elements of the deceased specimen(s) as well as artificial materials, and to manage taxidermy services and businesses. Includes instruction in specimen grading and selection, caping and fleshing, preservation procedures, tanning, drying, measurements, form and armature construction, carpentry and woodworking, molding and casting, drawing, sculptural techniques, painting and finishing techniques, basic business operations, customer communications, and applicable laws and regulations."
01.0599,"Agricultural and Domestic Animals Services, Other.",Any course in agricultural and domestic animal services not listed above.
01.0601,"Applied Horticulture/Horticultural Operations, General.","A course that focuses on the general production and processing of domesticated plants, shrubs, flowers, foliage, trees, groundcovers, and related plant materials; the management of technical and business operations connected with horticultural services; and the basic scientific principles needed to understand plants and their management and care. Also organic gardening and/or arboriculture."
01.0603,Ornamental Horticulture.,"A course that focuses on domesticated plants and plant materials used for decorative and recreational applications and prepares individuals to breed, grow, and utilize ornamental plant varieties for commercial and aesthetic purposes. Includes instruction in applicable plant science subjects, the environmental design and artistic aspects of horticultural product usage, and the management of horticultural operations."
01.0604,Greenhouse Operations and Management.,"A course that prepares individuals to produce, store, and deliver plant species in controlled indoor environments for wholesale, commercial, research, or other purposes. Includes instruction in applicable principles of plant science; climate, irrigation, and nutrition control equipment operation and maintenance; facilities management; inventory control; safety procedures; and personnel supervision."
