code,title,title_short
01,"Agriculture, Agriculture Operations, and Related Services",Agriculture
03,Natural Resources and Conservation,Natural Resources & Conservation
04,Architecture and Related Services,Architecture
05,"Area, Ethnic, Cultural, Gender, and Group Studies","Area, Ethnic, Cultural, Gender, & Group Studies"
09,"Communication, Journalism, and Related Programs",Communication & Journalism
10,Communications Technologies/Technicians and Support Services,Communications Technologies
11,Computer and Information Sciences and Support Services,Computer & Information Sciences
12,Personal and Culinary Services,Personal & Culinary Services
13,Education,Education
14,Engineering,Engineering
15,Engineering Technologies and Engineering-Related Fields,Engineering Technologies
16,"Foreign Languages, Literatures, and Linguistics","Foreign Languages, Literatures, & Linguistics"
19,Family and Consumer Sciences/Human Sciences,Family & Consumer Sciences/Human Sciences
22,Legal Professions and Studies,Legal Professions & Studies
23,English Language and Literature/Letters,English Language & Literature/Letters
24,"Liberal Arts and Sciences, General Studies and Humanities","Liberal Arts/Sciences, General Studies & Humanities"
25,Library Science,Library Science
26,Biological and Biomedical Sciences,Biological Sciences
27,Mathematics and Statistics,Mathematics & Statistics
28,"Military Science, Leadership and Operational Art","Military Science, Leadership & Operational Art"
29,Military Technologies and Applied Sciences,Military Technologies
30,Multi/Interdisciplinary Studies,Multi/Interdisciplinary Studies
31,"Parks, Recreation and Leisure Studies","Parks, Recreation & Leisure Studies"
32,Basic Skills and Developmental/Remedial Education,Basic Skills
33,Citizenship Activities,Citizenship Activities
34,Health-Related Knowledge and Skills,Health-Related Knowledge & Skills
35,Interpersonal and Social Skills,Interpersonal & Social Skills
36,Leisure and Recreational Activities,Leisure & Recreational Activities
37,Personal Awareness and Self-Improvement,Personal Awareness & Self-Improvement
38,Philosophy and Religious Studies,Philosophy & Religious Studies
39,Theology and Religious Vocations,Theology & Religious Vocations
40,Physical Sciences,Physical Sciences
41,Science and Technologies/Technicians,Science & Technologies
42,Psychology,Psychology
43,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",Homeland Security & Protective Services
44,Public Administration and Social Service Professions,Public Administration & Social Services
45,Social Sciences,Social Sciences
46,Construction Trades,Construction Trades
47,Mechanic and Repair Technologies/Technicians,Mechanic & Repair Technologies
48,Precision Production,Precision Production
49,Transportation and Materials Moving,Transportation & Materials Moving
50,Visual and Performing Arts,Visual & Performing Arts
51,Health Professions and Related Programs,Health Professions
52,"Business, Management, Marketing, and Related Support Services","Business, Management, & Marketing"
53,High School/Secondary Diplomas and Certificates,High School/Secondary Diplomas & Certificates
54,History,History
60,Residency Programs,Residency Programs
90,Other Courses,Other Courses
